x;y;z;rho_r;rho_b;psi
54;56;40;0.679267;0.16289;0.613161
55;56;40;0.792463;0.105387;0.765246
56;56;40;0.888764;0.0566408;0.880177
57;56;40;0.951158;0.0249326;0.948913
58;56;40;0.982142;0.00919806;0.981443
43;57;40;0.981111;0.00976966;0.980281
44;57;40;0.954228;0.0234331;0.952063
45;57;40;0.906054;0.0479458;0.899485
46;57;40;0.837712;0.0824887;0.820716
47;57;40;0.761823;0.12107;0.725742
48;57;40;0.695055;0.154785;0.635731
49;57;40;0.650252;0.177473;0.571178
50;57;40;0.633828;0.185717;0.54678
51;57;40;0.647717;0.178743;0.567449
52;57;40;0.6903;0.157182;0.629061
53;57;40;0.755624;0.124178;0.717713
54;57;40;0.831434;0.085646;0.81322
55;57;40;0.901072;0.0504224;0.894014
56;57;40;0.951158;0.0249326;0.948913
57;57;40;0.979621;0.0104825;0.978826
44;58;40;0.983328;0.00863804;0.982584
45;58;40;0.964275;0.0183172;0.962717
46;58;40;0.934217;0.0336621;0.930441
47;58;40;0.895965;0.0530432;0.888214
48;58;40;0.857887;0.0723492;0.84445
49;58;40;0.829816;0.0865976;0.811008
50;58;40;0.818989;0.0921267;0.797772
51;58;40;0.828162;0.0874304;0.809019
52;58;40;0.855006;0.0737882;0.84111
53;58;40;0.892614;0.0547127;0.88449
54;58;40;0.931239;0.0351328;0.927289
55;58;40;0.962195;0.0193358;0.960601
56;58;40;0.982142;0.00919806;0.981443
45;59;40;0.988691;0.0058747;0.988186
46;59;40;0.978671;0.0109907;0.977789
47;59;40;0.964925;0.0179635;0.963448
48;59;40;0.950164;0.025516;0.947696
49;59;40;0.938442;0.0314744;0.935099
50;59;40;0.933759;0.0338588;0.930016
51;59;40;0.937763;0.0318105;0.934382
52;59;40;0.949044;0.0260688;0.946532
53;59;40;0.963718;0.0185519;0.962226
54;59;40;0.977652;0.0114658;0.976816
55;59;40;0.988013;0.00618481;0.987558
48;60;40;0.986258;0.00709551;0.985714
49;60;40;0.982831;0.00883295;0.982186
50;60;40;0.981417;0.0095366;0.980753
51;60;40;0.98264;0.00892026;0.982008
52;60;40;0.985954;0.00723537;0.98543
53;60;40;0.990125;0.00510493;0.989741
48;39;41;0.988635;0.00587901;0.988177
49;39;41;0.985906;0.00728443;0.985331
50;39;41;0.984836;0.00782433;0.984236
51;39;41;0.985918;0.00728029;0.98534
52;39;41;0.988654;0.00587291;0.98819
45;40;41;0.988939;0.00574528;0.988448
46;40;41;0.979239;0.0107048;0.978373
47;40;41;0.965983;0.0174252;0.964562
48;40;41;0.95187;0.024648;0.949519
49;40;41;0.940821;0.0302697;0.937658
50;40;41;0.93665;0.03239;0.93315
51;40;41;0.94086;0.0302525;0.937695
52;40;41;0.951929;0.0246224;0.949573
53;40;41;0.966041;0.0174031;0.964608
54;40;41;0.97928;0.0106924;0.978399
55;40;41;0.988964;0.00574182;0.988455
44;41;41;0.981129;0.0097634;0.980294
45;41;41;0.959864;0.0205874;0.958004
46;41;41;0.926659;0.0374882;0.922236
47;41;41;0.885251;0.058502;0.876023
48;41;41;0.84474;0.0789922;0.828972
49;41;41;0.815571;0.0938072;0.793689
50;41;41;0.805019;0.0991984;0.780587
51;41;41;0.815664;0.0937622;0.793799
52;41;41;0.844886;0.0789242;0.829133
53;41;41;0.885387;0.058442;0.87616
54;41;41;0.926737;0.0374597;0.922299
55;41;41;0.959882;0.0205901;0.958
56;41;41;0.981118;0.00977993;0.98026
43;42;41;0.975468;0.0126635;0.974369
44;42;41;0.941355;0.0300428;0.938145
45;42;41;0.881972;0.0600538;0.872501
46;42;41;0.801714;0.100713;0.776796
47;42;41;0.716595;0.143949;0.665446
48;42;41;0.644755;0.18024;0.563053
49;42;41;0.598226;0.203638;0.492089
50;42;41;0.582308;0.211584;0.466971
51;42;41;0.598361;0.203573;0.492295
52;42;41;0.644975;0.180134;0.563369
53;42;41;0.716801;0.143855;0.665709
54;42;41;0.801798;0.100684;0.776872
55;42;41;0.881899;0.0601061;0.872387
56;42;41;0.941204;0.0301336;0.937954
57;42;41;0.97534;0.0127402;0.974212
42;43;41;0.975468;0.0126635;0.974369
43;43;41;0.933625;0.0339556;0.929813
44;43;41;0.852418;0.0749427;0.838374
45;43;41;0.734958;0.134616;0.690386
46;43;41;0.605939;0.199968;0.503744
47;43;41;0.493423;0.256377;0.316146
48;43;41;0.412514;0.297511;0.161969
49;43;41;0.365233;0.321381;0.0638659
50;43;41;0.349928;0.329154;0.030592
51;43;41;0.365352;0.321322;0.0641202
52;43;41;0.412712;0.297416;0.162361
53;43;41;0.493595;0.256299;0.31644
54;43;41;0.605915;0.199994;0.503681
55;43;41;0.734616;0.134808;0.689891
56;43;41;0.851859;0.0752452;0.837677
57;43;41;0.933115;0.0342271;0.929235
58;43;41;0.975168;0.0128259;0.974037
41;44;41;0.981129;0.0097634;0.980294
42;44;41;0.941355;0.0300428;0.938145
43;44;41;0.852418;0.0749427;0.838374
44;44;41;0.710032;0.147325;0.656327
45;44;41;0.545849;0.230267;0.406618
46;44;41;0.40141;0.302808;0.140016
47;44;41;0.296506;0.356069;-0.0912736
48;44;41;0.229773;0.38962;-0.25807
49;44;41;0.19421;0.407844;-0.354842
50;44;41;0.183078;0.413431;-0.386169
51;44;41;0.194285;0.407807;-0.354634
52;44;41;0.22989;0.389563;-0.257764
53;44;41;0.296565;0.356045;-0.0911417
54;44;41;0.401202;0.302928;0.139569
55;44;41;0.545114;0.230657;0.405348
56;44;41;0.708761;0.147995;0.654522
57;44;41;0.851082;0.075637;0.836764
58;44;41;0.940457;0.0305056;0.937164
59;44;41;0.980716;0.00997658;0.979859
40;45;41;0.988939;0.00574528;0.988448
41;45;41;0.959864;0.0205874;0.958004
42;45;41;0.881972;0.0600538;0.872501
43;45;41;0.734958;0.134616;0.690386
44;45;41;0.545849;0.230267;0.406618
45;45;41;0.371764;0.317842;0.0781924
46;45;41;0.244937;0.382231;-0.218911
47;45;41;0.164609;0.422738;-0.439483
48;45;41;0.118901;0.446134;-0.579138
49;45;41;0.0960078;0.457797;-0.653279
50;45;41;0.0891784;0.461359;-0.676031
51;45;41;0.0960431;0.457778;-0.653162
52;45;41;0.118944;0.446112;-0.579
53;45;41;0.164566;0.422762;-0.439612
54;45;41;0.244576;0.382423;-0.219851
55;45;41;0.370702;0.318399;0.0758995
56;45;41;0.543808;0.231317;0.403149
57;45;41;0.732404;0.135944;0.68689
58;45;41;0.879955;0.0610811;0.870183
59;45;41;0.95885;0.0211094;0.956918
60;45;41;0.98857;0.00593073;0.988073
40;46;41;0.979239;0.0107048;0.978373
41;46;41;0.926659;0.0374882;0.922236
42;46;41;0.801714;0.100713;0.776796
43;46;41;0.605939;0.199968;0.503744
44;46;41;0.40141;0.302808;0.140016
45;46;41;0.244937;0.382231;-0.218911
46;46;41;0.145873;0.432309;-0.495407
47;46;41;0.0900437;0.460849;-0.673099
48;46;41;0.0608848;0.475935;-0.773165
49;46;41;0.047104;0.482933;-0.822261
50;46;41;0.0430886;0.484957;-0.8368
51;46;41;0.0471163;0.482926;-0.822217
52;46;41;0.0608839;0.475932;-0.773167
53;46;41;0.089942;0.4609;-0.673438
54;46;41;0.145435;0.432537;-0.496742
55;46;41;0.243687;0.382878;-0.222151
56;46;41;0.39881;0.304148;0.134662
57;46;41;0.602106;0.201908;0.497751
58;46;41;0.798145;0.10255;0.772286
59;46;41;0.92461;0.0385275;0.919996
60;46;41;0.978454;0.0110922;0.977581
40;47;41;0.965983;0.0174252;0.964562
41;47;41;0.885251;0.058502;0.876023
42;47;41;0.716595;0.143949;0.665446
43;47;41;0.493423;0.256377;0.316146
44;47;41;0.296506;0.356069;-0.0912736
45;47;41;0.164609;0.422738;-0.439483
46;47;41;0.0900437;0.460849;-0.673099
47;47;41;0.0516696;0.480783;-0.805918
48;47;41;0.0328177;0.490261;-0.874521
49;47;41;0.024479;0.494648;-0.905692
50;47;41;0.0221318;0.495963;-0.914565
51;47;41;0.0244795;0.494646;-0.905689
52;47;41;0.0327949;0.490269;-0.874605
53;47;41;0.0515393;0.480848;-0.806384
54;47;41;0.0895658;0.461095;-0.674697
55;47;41;0.163266;0.423434;-0.443444
56;47;41;0.293521;0.357586;-0.0983942
57;47;41;0.488573;0.258876;0.307308
58;47;41;0.711326;0.146617;0.658212
59;47;41;0.881822;0.0602442;0.872102
60;47;41;0.964604;0.0181181;0.963127
39;48;41;0.988635;0.00587901;0.988177
40;48;41;0.95187;0.024648;0.949519
41;48;41;0.84474;0.0789922;0.828972
42;48;41;0.644755;0.18024;0.563053
43;48;41;0.412514;0.297511;0.161969
44;48;41;0.229773;0.38962;-0.25807
45;48;41;0.118901;0.446134;-0.579138
46;48;41;0.0608848;0.475935;-0.773165
47;48;41;0.0328177;0.490261;-0.874521
48;48;41;0.0199594;0.496995;-0.922781
49;48;41;0.0144612;0.499862;-0.943766
50;48;41;0.0129258;0.50061;-0.94966
51;48;41;0.0144551;0.499862;-0.943789
52;48;41;0.0199228;0.497009;-0.922919
53;48;41;0.0326626;0.490335;-0.875095
54;48;41;0.0603704;0.476205;-0.774979
55;48;41;0.117446;0.446869;-0.583756
56;48;41;0.226486;0.391314;-0.266798
57;48;41;0.40676;0.300434;0.150349
58;48;41;0.637915;0.183729;0.552777
59;48;41;0.839792;0.0814759;0.823122
60;48;41;0.949765;0.0257103;0.947287
61;48;41;0.988035;0.00617232;0.987583
39;49;41;0.985906;0.00728443;0.985331
40;49;41;0.940821;0.0302697;0.937658
41;49;41;0.815571;0.0938072;0.793689
42;49;41;0.598226;0.203638;0.492089
43;49;41;0.365233;0.321381;0.0638659
44;49;41;0.19421;0.407844;-0.354842
45;49;41;0.0960078;0.457797;-0.653279
46;49;41;0.047104;0.482933;-0.822261
47;49;41;0.024479;0.494648;-0.905692
48;49;41;0.0144612;0.499862;-0.943766
49;49;41;0.0102864;0.501961;-0.959838
50;49;41;0.00913849;0.502481;-0.964276
51;49;41;0.0102737;0.501964;-0.959887
52;49;41;0.0144068;0.499885;-0.943974
53;49;41;0.0242847;0.494744;-0.906422
54;49;41;0.0464948;0.483243;-0.824461
55;49;41;0.0943655;0.458644;-0.65872
56;49;41;0.190475;0.409755;-0.365326
57;49;41;0.358575;0.324756;0.0494917
58;49;41;0.589919;0.207809;0.478998
59;49;41;0.80925;0.0970161;0.785899
60;49;41;0.938032;0.0316731;0.934675
61;49;41;0.985098;0.00767208;0.984544
39;50;41;0.984836;0.00782433;0.984236
40;50;41;0.93665;0.03239;0.93315
41;50;41;0.805019;0.0991984;0.780587
42;50;41;0.582308;0.211584;0.466971
43;50;41;0.349928;0.329154;0.030592
44;50;41;0.183078;0.413431;-0.386169
45;50;41;0.0891784;0.461359;-0.676031
46;50;41;0.0430886;0.484957;-0.8368
47;50;41;0.0221318;0.495963;-0.914565
48;50;41;0.0129258;0.50061;-0.94966
49;50;41;0.00913849;0.502481;-0.964276
50;50;41;0.00810426;0.503;-0.968287
51;50;41;0.00911346;0.50249;-0.964373
52;50;41;0.0128363;0.500648;-0.950003
53;50;41;0.0218537;0.496104;-0.915616
54;50;41;0.0422922;0.48537;-0.8397
55;50;41;0.0871329;0.462421;-0.682896
56;50;41;0.178602;0.415722;-0.398975
57;50;41;0.342087;0.333082;0.0133368
58;50;41;0.57264;0.216458;0.451378
59;50;41;0.797653;0.10292;0.771434
60;50;41;0.933419;0.0340207;0.929669
61;50;41;0.983917;0.00826562;0.983339
39;51;41;0.985918;0.00728029;0.98534
40;51;41;0.94086;0.0302525;0.937695
41;51;41;0.815664;0.0937622;0.793799
42;51;41;0.598361;0.203573;0.492295
43;51;41;0.365352;0.321322;0.0641202
44;51;41;0.194285;0.407807;-0.354634
45;51;41;0.0960431;0.457778;-0.653162
46;51;41;0.0471163;0.482926;-0.822217
47;51;41;0.0244795;0.494646;-0.905689
48;51;41;0.0144551;0.499862;-0.943789
49;51;41;0.0102737;0.501964;-0.959887
50;51;41;0.00911346;0.50249;-0.964373
51;51;41;0.0102215;0.501986;-0.960088
52;51;41;0.0142919;0.499943;-0.944415
53;51;41;0.0240292;0.494882;-0.907386
54;51;41;0.0459344;0.483526;-0.826486
55;51;41;0.0932668;0.459223;-0.662377
56;51;41;0.188574;0.410714;-0.370674
57;51;41;0.355985;0.326066;0.043866
58;51;41;0.587402;0.209056;0.475035
59;51;41;0.807772;0.0977559;0.784091
60;51;41;0.937554;0.0319055;0.934179
61;51;41;0.985006;0.00771223;0.984462
39;52;41;0.988654;0.00587291;0.98819
40;52;41;0.951929;0.0246224;0.949573
41;52;41;0.844886;0.0789242;0.829133
42;52;41;0.644975;0.180134;0.563369
43;52;41;0.412712;0.297416;0.162361
44;52;41;0.22989;0.389563;-0.257764
45;52;41;0.118944;0.446112;-0.579
46;52;41;0.0608839;0.475932;-0.773167
47;52;41;0.0327949;0.490269;-0.874605
48;52;41;0.0199228;0.497009;-0.922919
49;52;41;0.0144068;0.499885;-0.943974
50;52;41;0.0128363;0.500648;-0.950003
51;52;41;0.0142919;0.499943;-0.944415
52;52;41;0.0195968;0.49718;-0.924157
53;52;41;0.0319817;0.49069;-0.877622
54;52;41;0.0589961;0.476927;-0.779834
55;52;41;0.114856;0.448181;-0.592013
